C(C(=O)O)N AGLYSL01
[P+]1(OCCCN1C)(OC(=O)c2ccccc2)[O-] GAWWOQ
C1(CC(C1)([NH3+])C(=O)[O-])(C(=O)[O-])S(=O)(=O)c2ccccc2 GEHBOK
S(SSNC(=O)C(=O)N)NC(=O)C(=O)N GEHPUE
ClN1C(=NC23C1(N=C(N2Cl)OCC)CCCC3)OCC GEHXEW
P(=C(F)N(C)C)C(F)(F)F GEJYOJ
C(C)(C)(C)NN GEKXEZ
C1(C(C1)(C)C#N)(C#N)C GEMCEG
C1(C(C1)(C#N)OC)(C#N)OC GEMCOQ
C1(C(C1)(C#N)N(C)C)(C#N)N(C)C GEMDAD
S(=O)(=O)(c1[nH]c2c([nH+]1)cccc2)[O-] GERCUB
s1c[n+](c(c1CCO)C)Cc2c(nc(nc2)C)N GESCIQ
c12ccccc1C2 GESNIB
S(=O)(=O)(N(C)C)c1ccc(cc1)C GESSUS
C1(=O)C(=[N+]=[N-])C=C(C=C1[N+](=O)[O-])[N+](=O)[O-] GETFIU
c1(c(cc(c(c1[N+](=O)[O-])Cl)[N+](=O)[O-])[N+]#N)[O-] GETFOA
S1[P+](S[P+]1([S-])Sc2ccccc2)([S-])Sc3ccccc3 GETJOE
N1(CC(=O)C=C1)c2ccccc2 GEWTAD
O=C(O)C[n+]1cn(cc1)CC(=O)O GEXGIZ
[O-][n+]1c(c([n+](c2c1cccc2)[O-])C)C(=O)NCCO GEYWOW
c1n(nc(n1)N=Nc2nn(cn2)[N+](=O)[O-])[N+](=O)[O-] GICTIV01
BrC1(CCC2(C(=O)OC1C2)C(=O)OC)C#N GIDJUY
[nH+]1c(nc(c2c1ccc(c2)N=[N+]=[N-])N)N GIDMEL
O=c1n(ccc(n1)NC(=O)NC(=O)N)C2OC(C(C2)O)CO GIDTIW
Nc1ccc(cc1)S(=O)(=O)[N-]c2nc(cc(n2)C)C GIFRAO
c1ccc2n1c3c(nc2)ccc4c3cccn4 GIGCEE
s1c2ccc1CSCCSCCSC2 GIGMUE
O=C1C2C3(C2(C31)C(=O)OC)C(=O)OC GIHZEC
S1(=O)(=O)[N-]C(=O)c2c1cccc2O GIJMOB01
C1=CC(=O)n2c1cc(c2)Br GIKJIT
S(C(C([NH3+])C)C(=O)[O-])c1ccccc1 GIKNOD
C12C(=COC(O1)C(=CO2)C=O)C=O GIKTUP
ClC12N=C(C(C1Cl)(C3C2C4CCC3C4)Cl)Cl GIMJIV
s1c2nc(=O)cc(n2cc1)CC(=O)OC GINMUL
O=C([O-])C(C(=O)O)Cc1ccccc1 GIPHES
P12C(N(CC1)C)(P3C2(N(CC3)C)C)C GIRDOA01
n12c(=O)[nH]c(=O)n1c(=O)[nH]c2=O GOHVUU
O1C(SC(SC1C(Cl)(Cl)Cl)(Cl)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl GOJCIR
c1(ncccc1[N+](=O)[O-])Sc2n[nH]cn2 GOJKIZ
O=c1[nH]c(nc2c1[nH+]c[nH]2)N GUANCH01
S=C(c1c(cccc1)O)N2CCCCC2 HYTPRD01
S1SSSSc2c1nsc2C#N ISTZCN10
s1c(=S)n(c(c1)C)c2c(c(ccc2)C)C JABGAU
Clc1ccc2c(=S)ssc2c1 JADLIJ
O1C(C1C2OC(OC2C3OC(OC3)(C)C)(C)C)[N+](=O)[O-] JADXER
S(=O)(=O)(C1(OC1c2ccccc2)C)C JAHKOS
C1(=C(C1(C)C)c2ccc(cc2)Cl)OC JAHTOB
ClC12CCCN(C1(Cl)Cl)CCC2 JAHYEW
P12c3c(cccc3)P(CC1)CC2 JAKGUX
c1(c(cc(cc1)C)N=O)NC JAKJOU
[S-](=S)(=O)C12CC3CC(C1)CC(C2)C3 JALSOE
[NH2+]=C(N)Nc1ccc(cc1)C(=O)Oc2ccc(cc2)CC(=O)OCC(=O)N(C)C JAMREU
C1(C(=C(N2C1C(C2=O)C(C)O)C(=O)OCc3ccc(cc3)[N+](=O)[O-])Sc4ncccn4)OC JANDOR
P(=O)(OC)([O-])C(=NO)c1ccccc1 JANMAM
S1CCN2C1=NC(=Cc3cc(ccc3)[N+](=O)[O-])C2=O JAPFAH
N(=C(OC)OC)N=C(OC)OC JATBIP
s1c(nc2c1c(ncn2)N)Cl JATCOW
s1c(nc(c1)CSCCC(=NS(=O)(=O)N)N)[NH+]=C(N)N JATLOF
s1c(nc(c1)CSCCC(=NS(=O)(=O)N)N)NN(C)C JATMEW
S(N(C)C)c1c(cccc1)[N+](=O)[O-] JAVGAO
[nH]1c(nc2c(c1=O)n(c(=O)n2C3C(C(C(O3)CO)O)O)C)N JAWJIA
OC1CNC1 JAWMAV
OC1C(=C=CC(=C)C)CC(C2C1O2)O JAWVEI
P(=O)([O-])(c1[nH]ccn1)c2[nH]ccn2 JAWZEM
S1(=O)(=O)N2OC23C(=O)OC4CCC3(C4(C)C)C1 JAZGOG
n1(nc(nc1)C(=S)N)C2C(C(C(O2)COS(=O)(=O)N)O)O JAZVIP10
n1c(nc2c(c1S(=O)(=O)N)ncn2C3C(C(C(O3)CO)O)O)N JAZZOZ10
P1(=O)(Nc2ccccc2N1)c3ccccc3 JEBFEB01
n1(c(ncc1)[N+](=O)[O-])CC(O)CN2CC2C JECVES
CC(=O)N(OC(=O)NC)C(=O)NC JECVUI
P1(=O)(N(C2CCCCC2N1C)C)C(N=[N+]=[N-])CC JECYIZ
s1c(nc(=NC(=S)N(C)C)nc1N(C)C)N(C)C JEFRAN
n1c(nc2c(c1OC)ncn2C)N JEHCUU01
S(=O)(=O)(N[NH3+])c1ccccc1 JEHXOJ
Cl[P+](Cl)([O-])C1(CCCCC1)O JELKUG
[O-][N+]1=C(C(=O)c2c1cccc2)c3ncccn3 JELREX
[N+]1(=C(C(=O)c2c1cccc2)C(=O)OC)[O-] JELRIB
P(=O)(O)([O-])C(F)(F)C[NH3+] JEMHIS
O1CCOC(=C(C1(F)F)C(F)(F)F)C(C(F)(F)F)(F)F JEMWUT
[Si](NC)(NC)(NC)NC JESFES
P(=O)(C(P(=O)([O-])O)(C)O)(O)O JETJUN
ONC=C1C(=O)CC(CC1=O)(C)C JEVXIR
P1(=O)(OCCC(N1)c2cnccc2)N(CCCl)CCCl JEWFAS
n12c(=O)c(c3n1c(c(c2=O)Cl)CSC3)Cl JEWPIK
S(=O)(=O)(N(S(=O)(=O)C)c1ccc(cc1)N(C)C)C JEXREJ
[nH]1cc(c2c1ccc(c2)O)CC(=O)O JEYBUK
S(=O)(=O)(c1ccc(cc1)C)N2C(C2CO)CO JIDHIN
S1(=O)(=O)NC(=[NH+]c2c1cccc2)CN JIFYUS
s1nc2onc(c2c1N)C JIGCIL
ClC1=C(C(=O)C(=C(C1=O)O)Cl)C#CC(=CCl)C JIGRAS
[O-][N+](=O)C(=NO)C JIHVEB
n1(c(=O)[nH]c(=O)c(c1)I)C2CC(C(CO2)O)O JIKHUG
[n-]1nc(c2c1ccc(c2)[N+](=O)[O-])[N+](=O)[O-] JILWUW
S(=O)(=O)(N(O)c1ccccc1)C JINDAL
S(=O)(=O)(Oc1c2c3c(c[nH]c3cc1)CC[N+]2(C)C)[O-] JINDOZ
S(=O)(=O)(C)C=CC#N JIRJID
O(c1c2c(ccc1)C([N+](C2O)(C)C)C)C JISZAM
S1(=O)(=O)OC(C(=C1)N2CCCCC2)(C(F)(F)F)C JITMII
[n+]1(c(c(c(cc1)O)O)c2[n+](ccc(c2O)O)[O-])[O-] JIWKOP
C(=C(N)OC)(C#N)N=Cc1ccc(cc1)O JIXBAT
o1c-2c(c(c(c(c(c2cc1=O)F)F)F)F)OC JIYJAC
n1(c[nH+]cc1[N+](=O)[O-])CC JIYREO
n1c(cccc1)[O-] JIYTOA
S(N([Si](Cl)(Cl)Cl)C(C)(C)C)N([Si](Cl)(Cl)Cl)C(C)(C)C JIZWUK
[Si](CCl)(C)(C)N=C=O JOFDUD
ClC1(C(=O)C2(C1(C3CC3)C)CC2)Cl KAFXIY
o1c(cc(=O)c2c1cccc2)c3c(cccc3OC)OC KAGBOJ
S1c2ccccc2N3C1(C(C3=O)(C)C)C KAKGOS
BrC1(CC1c2cn(c(=O)[nH]c2=O)C3OC(C(C3)O)CO)Br KAMCUW
Clc1ccc(cc1)C(=[N+](C)[O-])Cn2cncn2 KAMJAJ
s1nc2c(n1)c(=C(C#N)C#N)ccc2=C(C#N)C#N KANWEB
Clc1nc2c(nc(nc2c(n1)Cl)Cl)NC3C4C(C(O3)CO)OC(O4)(C)C KANZOO
S=C([S-])c1n(cc[n+]1C)C KAPCUZ
S1(=O)(=O)C2(CC3CC(C1(C)C)C2C3)C#N KARYAD
c1(ccccc1)CN([N+](=O)[O-])C#N KASBAH
c1(cc(c(cc1)OC)OC)C#CC(=O)O KASBOV
S1(=O)(=O)N=C2N(NC(=C2N=C1c3ccccc3)C)C KATNAU
n1(cnc(c1)[N+](=O)[O-])[N+](=O)[O-] KAVFUI
N12COC(CC1CC(=O)O2)COC(=O)C KAVTEG
S1C(=CC(=S)C(F)(F)C(F)F)C=C(C=C1C(F)(F)C(F)F)C KECSIU
n1(nc(nc1Cl)C(Cl)(Cl)Cl)C(C(Cl)(Cl)Cl)(Cl)Cl KECSUG
s1cc(cc1c2scc(c2)OC)OC KEDYAT
O(C)c1oc(nc1C#N)Nc2ccccc2 KEFJEK
P1(=O)(OC(C(=C1)C(=O)N)(C)C)[O-] KEJFOU
s1c(nnc1[N-]S(=O)(=O)c2ccc(cc2)N)CC KEMFAJ
S(=O)(=O)(Cl)N=C1C2C3C2C=CC(O1)C3 KENHOA
c12c(ccc3n1nnn3)[n+](on2)[O-] KEPKIZ
[O-][N+](=O)c1c(ccc(c1)[N+](=O)[O-])C=[N+]([O-])C(C)(C)C KESNEB
s1nc(c(n1)N=[N+]=[N-])N KEWJIF
OC=O KHDFRM11
N(=C(N=C(SC)N1CCCC1)N)[N+](=O)[O-] KIBDII
n1[n+](nc(cc1c2ccccc2)C)[O-] KIBFAC
P(F)(F)OCCC#N KICCUU
C12C3CC(C1Cl)C4(C3(C2(C(=C4Cl)Cl)Cl)Cl)Cl KICGAE
P1(=O)OC2C(OCC(O1)C2O)OC KICLAJ
S1P(Nc2c1cccc2)Cl KIGKIU
c1(c(c(nc(c1F)F)F)F)[N+](=[N+](c2c(c(nc(c2F)F)F)F)O)O KIKVUV
C(O)(F)(F)F KIMLEX01
O1N(CC=CC1)C=C(C#N)SC(C)(C)C KINKUN
N(CCC[N+]#[C-])(CCC[N+]#[C-])CCC[N+]#[C-] KINTUW
C12C3c4ccccc4C3C(C1)C5C2C(=NNC5=O)OCC KINWEJ
C(=O)(O)C([NH3+])CC(F)C(=O)[O-] KINWIN
[O-][N+](=O)c1cc(c2c(c1)C3ON(C2([N+](=O)[O-])[N+](=O)[O-])OC3C(=O)OC)[N+](=O)[O-] KIRCAP
ClN1CC1(C(=O)OC)C(=O)NC KIRCOD
[nH+]1cnc2c(c1N)ncn2CCOCP(=O)([O-])O KITREK
C(C(F)(F)F)(C(F)(F)F)SSC(=N)C(=S)N KIYGAA
O=c1[nH][nH]c(c1[N+](=O)[O-])N KOBXOO
[nH]1nc(nc1)n2cnnc2 KOBYOP
ClC1=C(C(=O)C(=C(C1=O)C#N)Nn2c(nnc2c3ncccc3)c4ncccc4)Cl KOBZEG
s1c(c(cc1)C#N)n2c(ccc2)C=O KOCWUU
N1(C(CCC1C)C)C(=O)C(CC)I KODFUE
C1N(CCN(CN1N=O)[N+](=O)[O-])[N+](=O)[O-] KOFKIZ
o1c(ncc1c2ccccc2)NC(=O)OCC KOFMEX
S1(=O)(=O)C(C(N2C1CC2=O)C(=O)O)(C)Cn3ccnn3 KOFNIC
S(=O)(=O)(OC#CC)c1ccc(cc1)C KOHVEI
O(C#C)C(=O)c1ccccc1 KOHVIM
S=C(n1nc(cc1C)C)n2nc(cc2C)C KOJGOF
N1(CC#CCN(CC#CC1)C)C KOJKID
n1(c(=O)n(c(=O)c(c1N)N=O)C)C KOJZOY
P1(=O)(NC(=NC#N)N(C1(C)C)C)OCC KOKMIG
S(N=C(N(SC(Cl)(Cl)Cl)SC(Cl)(Cl)Cl)c1ccccc1)C(Cl)(Cl)Cl KOLCUJ
N(C=CC=CC=[N+](C)C)(C)C MAPMIP03
S(OC)c1c(cccc1)[N+](=O)[O-] MENBZS01
S(=O)(c1c(cccc1)C(=O)OC)C METBZC10
S=C([S-])N(CC)CC NAESCB01
C(=O)(C(=O)[O-])O NHOXAL06
P1(=O)(OC(=C(O1)C)C)n2ncnc2 PHOSLA10
P1(=O)(OC(=C(O1)C)C)N=C(N(C)C)N(C)C PHOSLB10
S1CCN2C1=NC(C2)c3ccccc3 PIMTAZ01
c1(c(ccc[nH+]1)C(=O)[O-])C(=O)[O-] QUICNA01
[nH]1c(=O)[nH]c(=O)c(c1)NC(=NC(=O)OC)OCC SABNOY
S(c1ncnc2c1nc[nH]2)CCCCCCC SACXAV
O=c1n(c2n(c(=O)n(c(=O)n2)C)cc1)C SADXAW
s1cc(nc1)c2ncsc2 SAFFOU
s1c(ncc1)c2sccn2 SAFFUA
C(=[N+]=[N-])(C(=O)O)[N+](=O)[O-] SAFKAL
N12C(=C(CC1C(C2=O)C(C)O)SCCNC=N)C(=O)[O-] SAHSOJ
c1(c(cccc1)SCC[NH+]=CN)C(=O)[O-] SAHSUP
ClC1=C(C(=O)C2(C3(C2(C1=O)C#N)c4ccccc4-c5c3cccc5)C#N)Cl SAKGUG
S1(=O)NC(C2C1C(=O)N(C2=O)C)C(C)C SALVEG
S=C([S-])[N-]S(=O)(=O)c1ccccc1 SAMFUH
P1(=S)(N(C(=S)N(C1=C)C)C)N(CC)CC SAMXUZ
n1(ncc2c1[nH]ccc2=O)C3CC(C(O3)CO)O SANKEX10
S1(=O)OC(C(C(O1)C(C)(C)C)C)C(C)(C)C SAVDOI
n1(nc(cc1)c2ccccc2)N SAWKEG10
N1C(=[NH+]CC1)Cc2ccccc2 SEBPEU01
S1(=O)(=O)N(C(=C(c2c1cccc2)[O-])C(=O)Nc3ncccc3)C SECDAF
s1c2nc[nH]c(=O)c2c3c1CCCC3 SEFRAW
S=P(OC(C)C)(OC(C)C)NC(=S)C SEFYIL
S=C(NN=C(C(=O)[O-])c1ccccc1)N SEGFIT
[Si]1(Oc2ccccc2O[Si](Oc3c(cccc3)O1)(Cl)Cl)(Cl)Cl SEGJAP
S(=O)(=O)(NN)c1ccccc1 SEGLAR
S=C(NN=C(C(=O)[O-])C(=O)O)N SEGNEX
IC12CC(C1)(C2)C(Cl)(Cl)Cl SEGWEG
Oc1c(cc(cc1C)C)C[N+]([O-])(C)C SEHBEM
C1(=C2C(=O)OCC2)C3(C(=O)C14CC4)CC3 SEJDAM
ON=C1C(CCCC1)(C)C=C=CC SEKKIC
n1n(nc2c1cccc2)N SEKPED
n1(cnc2c1cccc2)N SEKPIH
[Si](O)(c1ccccc1)(c2ccccc2)c3ccccc3 SELFIY
[S-](=O)(=O)C(F)[N+](CC)(CC)CC SEMDIX
O(C(=O)C(=C1N(N=NN1)c2ccccc2)C#N)C SEMXOX
S1(=O)(=O)CCS(=O)(=O)C(=C1)c2ccccc2 SETHAA
S1SC(=NC1(C(F)(F)F)C(F)(F)F)Nc2ccccc2 SETLIM
[nH]1ncc2c1c[nH+]cc2 SEYVUN
S=C([N-][N+]1=C(C(NC1=O)(C)C)N(C)C)OC SEYWUO
ClC1OC12C(C(C(C2=C(Cl)Cl)(Cl)Cl)O)(Cl)Cl SEZMEP
c1(c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-])N([N+](=O)[O-])CC(=O)O SICNUN
s1c(ccc1)C(=Nc2ccccc2O)C SICPEZ
n1n(nc2c1nccn2)c3ccccc3 SICSEC
Ic1c(=C(C#N)C#N)cc(c(=C(C#N)C#N)c1)I SIDFIU
S(=O)(=O)([N-]N=NC(c1[n+](nnn1C)C)C(C)(C)C)C SIDRUS
P1(C(P(C1[NH+](C)C)CC)[NH+](C)C)CC SINMIL
S1C(NC(C1(C)C)P(=O)(OC)OC)C(C)C SIYLOB
O1C2C1C(CC2(OC3OC(C(C(C3O)O)O)CO)C#N)O SIZJIU
s1c(nc(c1)C(=O)N)C2C=CC(O2)CO SIZWUT
c1(ccc(cc1)S(=O)(=O)Nc2cc(on2)C)N SLFNMB04
O=C1N(NC(n2c1c(nc2)[N+](=O)[O-])(C)C)C SOGVOZ
C(=[NH+]N=C(C)C1=C([N+](=C(N)N)N=C1)C)(N)N SOHXOC
s1c(nn(c1=NC(=O)C)C)S(=O)(=O)N SOJNEK
S1(=O)C(C(N2C1C(C2=O)(Br)Br)C#N)(C)C SOMKIO
s1c(nc2c1CCC3C2=CCCN3CCC)N SONZIE
s1c(=CC(=O)C)sc1=C(C#N)C#N SOPZEC
Clc1n(nc(n1)Cl)c2ccc(cc2)[N+](=O)[O-] SORBIK
S(=C(N)N)(=O)=O SURDOX02
n1(ncc(c1)[N+](=O)[O-])Cn2ncc(c2)[N+](=O)[O-] TACGIN
C1(CC[NH2+]1)(C(=O)[O-])C(c2ccncc2)O TACLEO
c12c(non1)N(CCN2N=O)N=O TAFKIU
C1(C2C(C(C(C1Br)c3c2cccc3)Br)Br)(Br)Br TAFXIH
ClSc1c(cccc1)[N+](=O)[O-] TAFZIJ
[nH]1c(=O)[nH]c(=O)c(c1)C(=O)[O-] TAGVIG
C(=O)(N=NC(C#N)(C)C)N TAHMOE
O([n+]1ccc(cc1)N)c2ncc(cc2)[N+](=O)[O-] TAJPUP
C(=O)(C[n+]1cn(cn1)N=C(Cc2ccccc2)[O-])[O-] TAJSUS
s1nnnc1[S-] TAJVUV
s1nnnc1SC(=O)c2ccccc2 TAJWAC
ClC(=C1C(C(C1=C(Cl)Cl)(Cl)Cl)(Cl)Cl)Cl TAKHES
S1(=O)(=O)[N-]C(=S)c2c1cccc2 TAMMAV
C1(C(=C1)c2ccccc2)(C#N)[N+](=O)[O-] TANHAR
c1cccc2c1-[n+]3c(c(on3)[O-])C2(O)C TAPJUP
N#CC(C#N)c1ccc(cc1)N TAPSAE
P(CC#N)(CC#N)CC#N TCYMPH02
O=C1C2(C3(C2(C3(C1=O)C)C)C)C TMTCHD01
n1cccc2c1ncnc2NNC VABLIT
C1(C2C(C(O1)C=O)OC(O2)(C)C)OC VABROF
n1(nc(nc1N2CC2)[N+](=O)[O-])CCC(=O)C VACRUM
C(#N)C1=C(SN(S1)S(=O)(=O)c2ccc(cc2)C)C#N VAJFAN
S=C([S-])OC VALTEH
S(C([S-](=O)=O)(F)F)C(F)(F)[N+]12CCC(CC1)CC2 VALWOU
n1nc(n2c1c(ccn2)N)C3C(C(C(O3)CO)O)O VAPZOB10
c1c(c(=O)oc2c1oc(c2)C)C VASDOI
ClC1=C2NCCc3c2c(n(c3SC)C)C(=O)C1=O VATKAC
P1(=O)(C(=[NH+][O-])C(=C(C1)[N+](=O)[O-])C)OC VAWDUS
n1(cnc(n1)S(=O)(=O)N)C2C(C(C(O2)CO)O)O VAWMOV
BrC(C(NC(=C([N+](=O)[O-])[N+](=O)[O-])C)(C)C)(C)C VAWWAR
[nH+]1c(nc(c(c1)COCC)N)C VAYKUB
c1(cc(c(cc1)O)OC)C(=O)c2[nH]ccn2 VAZHUZ
S1C(=C(C1(SC)SC)C(=S)SC)SC VECSAX
S1(=O)(=O)N=C(c2n(cnc2N1C)C)N VEDTED
[nH]1ncc(c1[Si](C)(C)C)[N+](=O)[O-] VEHCOA
ClCC1=CS(=O)(=O)N=C(O1)N2CCOCC2 VEHZOX
s1c(c(c(c1C(C(=O)OC)(C(=O)OC)Cl)Cl)Cl)Cl VEJWOW
c1cc(cc[n+]1C(=O)C)N(C)C VEKMON
C12C3C1C(=C)C4C(C2=C)C4C3=C VENYUI
c1([nH]c(c(n1)[N+](=O)[O-])[N+](=O)[O-])c2[nH]c(c(n2)[N+](=O)[O-])[N+](=O)[O-] VETWAS
ClC1(C2(C1CP(=O)(C2)c3ccccc3)C)Cl VEVDIJ
c1nnc2n1c3c([nH+]c2NC(C)C)ccc(c3)F VEWZOM
n1c2c(ccc1C#N)oc3c2cccc3 VEXKOY
N(=C(c1ccccn1)c2ccccc2)O VEXMOA
[Si]1(O[Si](CCC1)(O)C)(O)C VEYBIK
ClC(=NO)C=NO VEYWAX
ClCP1(=O)COc2c1cccc2 VEZBUX
n1(c(nc(=O)n1C)N)C2C(C(C(O2)CO)O)O VICGAP
n1c(nc2c(c1S(=O)N)ncn2C3CC(C(O3)CO)O)N VICGET
ClC(=S=O)C12C(=O)CC(C1(C)C)CC2 VICKIB
o1c(ccc1)CNc2nc[nH+]c3c2[nH]cn3 VICPOM
[NH2+]1N=C(CC1(C)C)C VIDKUO
s1c2c3ccccc3[nH]c2c4c1cccc4 VIFFEV
n1n(cc2c1nc[nH]c2=O)C(C)(C)C(C)(C)O VIGPEG
n1c2c(nc3c1cccc3)C4C5C2C45 VIGTUA
S1C(=S=O)C(N=C1c2ccccc2)(C)C VIHHID
C1(C(C1C)C)(C(=O)O)[N+](=O)[O-] VIKVIU
C1(C2C3C(=O)C4C1C5C2C3C4C5)(Br)[N+](=O)[O-] VIKYAP
[Cl+3]([O-])([O-])([O-])[O-] VIMHII
n1c(c(cn2c1[nH+]cc(c2=O)C)C)O VIPXAT
O=C1C2CCCCC2C1(C)C(=O)C=[N+]=[N-] VIRBON
C1(=O)C(=Cc2ccccc2)CO1 VIWCOT
n1(cnc2c1c(=O)cns2)C VIXRID
S1(=O)C(S(=O)N1C)(F)F VIXXOP
BrC1(OC2C1OC3C2OC(O3)(C)C)C(=O)OC VIYPAU
c12n(c3ccccc3n1)C(=O)CC(N2)(C)C VOBLAZ
C1S(=O)(=O)NCc2c1cccc2 VOBWOY
BrC1(C(C1)(CC(=O)O)c2ccccc2)Br VOFBOH
BrCC1(C(C1)(Cl)Cl)c2ccccc2 VOFCAU
OC(=[OH+])C VOJGEG
P(=O)([O-])C[n+]1c(cccc1)N VOJJIN
[O-]NC(=O)C(=O)N[O-] VUWXUG
o1c(c(c2c1cccc2)N)C(=O)C VUXGOK
S(=O)(=O)(N)Cc1noc2c1cccc2 VUXPUZ
o1ccc2c1cc([nH]2)C(=O)OCC VUXREL
c1(ccc(cc1)[N+]#[C-])[N+]#[C-] ZZZIZA01
S(=O)(=O)(SSS(=O)(=O)c1ccccc1)c2ccccc2 ZZZMVU10
IN1C(=O)CCC1=O ZZZVCQ01
o1cncc1 AR14A
O=CC(=O)O CA04A
C=COC=O CE05A
C=O CO01A
C(=C)CC=O CO08A
ClC1CCC1 HL08A
C=NC IM02A
C=[NH+]C NC10A
[NH2+]=C NC13A
N NH10A
C[NH+](CC)[O-] NH20A
[NH2+](CC)[O-] NH22A
N(CC)O NH23A
C=CO OH10A
S SR01A
SSC SR05A
c1(ccccc1)S SR07A
C[O-] AN05A
C[S-] AN06A
[S-]C=C AN08A
[n-]1ncnn1 AN11A
C(=C)[NH-] AN12A
FC1CC1 HL11A
FC=C HL13A
CN=O NO03A
CC(=[N+]=[N-])C NX02A
CC(=[OH+])C OC02A
[PH3]=O PO02A
CNP(=O)([O-])C PO05A
P PR01A
CP PR02A
CPCl PR03A
CC(=P)C PR04A
[SiH3]C SI02A
[SiH2](C)O SI03A
c1ccc(cc1)C(=O)NS(=O)(=O)C SO07A
S(=O)(=O)(O)O SO12A
CS(=O)(=O)[N-]C SO15A
CC(=S=O)C SO16A
C[S-](=O)=S SO18A
O.[Br-] BRMW1
O.O.O.[Ca+2] CA2PW3
O.[Cl-] CLMW1
O.[Cu+] CU1PW1
O.O.O.[Cu+2] CU2PW3
O.O.O.[Fe+2] FE2PW3
O.O.O.[Fe+3] FE3PW3
O.[F-] FMW1
O.[OH3+] H3OPW1
O.[K+] KPW1
O.[Li+] LIPW1
O.O.O.[Mg+2] MG2PW3
O.[Na+] NAPW
O.[OH-] OHMW1
O.O.O.[Zn+2] ZN2PW3
